group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Size in Bytes (power of 2),,14,,,1041123.0,ns,880565
Size in Bytes (power of 2),,14,,,1847393.0,ns,1761130
Size in Bytes (power of 2),,14,,,2918982.0,ns,2641695
Size in Bytes (power of 2),,14,,,3695780.0,ns,3522260
Size in Bytes (power of 2),,14,,,4619199.0,ns,4402825
Size in Bytes (power of 2),,14,,,5543007.0,ns,5283390
Size in Bytes (power of 2),,14,,,6655251.0,ns,6163955
Size in Bytes (power of 2),,14,,,7751590.0,ns,7044520
Size in Bytes (power of 2),,14,,,9883998.0,ns,7925085
Size in Bytes (power of 2),,14,,,11021353.0,ns,8805650
Size in Bytes (power of 2),,14,,,10885050.0,ns,9686215
Size in Bytes (power of 2),,14,,,11783931.0,ns,10566780
Size in Bytes (power of 2),,14,,,12986861.0,ns,11447345
Size in Bytes (power of 2),,14,,,13635378.0,ns,12327910
Size in Bytes (power of 2),,14,,,14712028.0,ns,13208475
Size in Bytes (power of 2),,14,,,15570111.0,ns,14089040
Size in Bytes (power of 2),,14,,,16471964.0,ns,14969605
Size in Bytes (power of 2),,14,,,17533344.0,ns,15850170
Size in Bytes (power of 2),,14,,,18487020.0,ns,16730735
Size in Bytes (power of 2),,14,,,19379639.0,ns,17611300
Size in Bytes (power of 2),,14,,,20285110.0,ns,18491865
Size in Bytes (power of 2),,14,,,20501583.0,ns,19372430
Size in Bytes (power of 2),,14,,,22007552.0,ns,20252995
Size in Bytes (power of 2),,14,,,22535977.0,ns,21133560
Size in Bytes (power of 2),,14,,,23214354.0,ns,22014125
Size in Bytes (power of 2),,14,,,25516265.0,ns,22894690
Size in Bytes (power of 2),,14,,,25279832.0,ns,23775255
Size in Bytes (power of 2),,14,,,26296128.0,ns,24655820
Size in Bytes (power of 2),,14,,,27201644.0,ns,25536385
Size in Bytes (power of 2),,14,,,28383523.0,ns,26416950
Size in Bytes (power of 2),,14,,,29761144.0,ns,27297515
Size in Bytes (power of 2),,14,,,30556151.0,ns,28178080
Size in Bytes (power of 2),,14,,,31725283.0,ns,29058645
Size in Bytes (power of 2),,14,,,32655279.0,ns,29939210
Size in Bytes (power of 2),,14,,,33399070.0,ns,30819775
Size in Bytes (power of 2),,14,,,34019887.0,ns,31700340
Size in Bytes (power of 2),,14,,,35057879.0,ns,32580905
Size in Bytes (power of 2),,14,,,36035160.0,ns,33461470
Size in Bytes (power of 2),,14,,,36253988.0,ns,34342035
Size in Bytes (power of 2),,14,,,39506656.0,ns,35222600
Size in Bytes (power of 2),,14,,,42042941.0,ns,36103165
Size in Bytes (power of 2),,14,,,43160238.0,ns,36983730
Size in Bytes (power of 2),,14,,,42533731.0,ns,37864295
Size in Bytes (power of 2),,14,,,47425119.0,ns,38744860
Size in Bytes (power of 2),,14,,,45082805.0,ns,39625425
Size in Bytes (power of 2),,14,,,47086972.0,ns,40505990
Size in Bytes (power of 2),,14,,,46763291.0,ns,41386555
Size in Bytes (power of 2),,14,,,47767559.0,ns,42267120
Size in Bytes (power of 2),,14,,,48899437.0,ns,43147685
Size in Bytes (power of 2),,14,,,49413577.0,ns,44028250
Size in Bytes (power of 2),,14,,,51024021.0,ns,44908815
Size in Bytes (power of 2),,14,,,54934480.0,ns,45789380
Size in Bytes (power of 2),,14,,,63179699.0,ns,46669945
Size in Bytes (power of 2),,14,,,62996121.0,ns,47550510
Size in Bytes (power of 2),,14,,,59500946.0,ns,48431075
Size in Bytes (power of 2),,14,,,57909009.0,ns,49311640
Size in Bytes (power of 2),,14,,,58093096.0,ns,50192205
Size in Bytes (power of 2),,14,,,58337123.0,ns,51072770
Size in Bytes (power of 2),,14,,,59547124.0,ns,51953335
Size in Bytes (power of 2),,14,,,59881381.0,ns,52833900
Size in Bytes (power of 2),,14,,,61276024.0,ns,53714465
Size in Bytes (power of 2),,14,,,62725889.0,ns,54595030
Size in Bytes (power of 2),,14,,,62944779.0,ns,55475595
Size in Bytes (power of 2),,14,,,64906862.0,ns,56356160
Size in Bytes (power of 2),,14,,,64706006.0,ns,57236725
Size in Bytes (power of 2),,14,,,65641450.0,ns,58117290
Size in Bytes (power of 2),,14,,,66342571.0,ns,58997855
Size in Bytes (power of 2),,14,,,67000980.0,ns,59878420
Size in Bytes (power of 2),,14,,,67165992.0,ns,60758985
Size in Bytes (power of 2),,14,,,68537440.0,ns,61639550
Size in Bytes (power of 2),,14,,,69769989.0,ns,62520115
Size in Bytes (power of 2),,14,,,70182762.0,ns,63400680
Size in Bytes (power of 2),,14,,,71095251.0,ns,64281245
Size in Bytes (power of 2),,14,,,70586100.0,ns,65161810
Size in Bytes (power of 2),,14,,,70114976.0,ns,66042375
Size in Bytes (power of 2),,14,,,73377067.0,ns,66922940
Size in Bytes (power of 2),,14,,,74415883.0,ns,67803505
Size in Bytes (power of 2),,14,,,77346591.0,ns,68684070
Size in Bytes (power of 2),,14,,,76976000.0,ns,69564635
Size in Bytes (power of 2),,14,,,77715495.0,ns,70445200
Size in Bytes (power of 2),,14,,,77121279.0,ns,71325765
Size in Bytes (power of 2),,14,,,78690076.0,ns,72206330
Size in Bytes (power of 2),,14,,,78900970.0,ns,73086895
Size in Bytes (power of 2),,14,,,80395119.0,ns,73967460
Size in Bytes (power of 2),,14,,,81293720.0,ns,74848025
Size in Bytes (power of 2),,14,,,81290885.0,ns,75728590
