group,function,value,throughput_num,throughput_type,sample_measured_value,unit,iteration_count
Size in Bytes (power of 2),,19,,,933362.0,ns,869014
Size in Bytes (power of 2),,19,,,2068595.0,ns,1738028
Size in Bytes (power of 2),,19,,,2799871.0,ns,2607042
Size in Bytes (power of 2),,19,,,3733094.0,ns,3476056
Size in Bytes (power of 2),,19,,,5026720.0,ns,4345070
Size in Bytes (power of 2),,19,,,5642689.0,ns,5214084
Size in Bytes (power of 2),,19,,,7003898.0,ns,6083098
Size in Bytes (power of 2),,19,,,7615980.0,ns,6952112
Size in Bytes (power of 2),,19,,,8531371.0,ns,7821126
Size in Bytes (power of 2),,19,,,12238773.0,ns,8690140
Size in Bytes (power of 2),,19,,,10653110.0,ns,9559154
Size in Bytes (power of 2),,19,,,11805139.0,ns,10428168
Size in Bytes (power of 2),,19,,,12430735.0,ns,11297182
Size in Bytes (power of 2),,19,,,13478293.0,ns,12166196
Size in Bytes (power of 2),,19,,,14404653.0,ns,13035210
Size in Bytes (power of 2),,19,,,15370702.0,ns,13904224
Size in Bytes (power of 2),,19,,,16469806.0,ns,14773238
Size in Bytes (power of 2),,19,,,17427928.0,ns,15642252
Size in Bytes (power of 2),,19,,,17737619.0,ns,16511266
Size in Bytes (power of 2),,19,,,22845604.0,ns,17380280
Size in Bytes (power of 2),,19,,,21298506.0,ns,18249294
Size in Bytes (power of 2),,19,,,21269156.0,ns,19118308
Size in Bytes (power of 2),,19,,,22572310.0,ns,19987322
Size in Bytes (power of 2),,19,,,23699711.0,ns,20856336
Size in Bytes (power of 2),,19,,,24599852.0,ns,21725350
Size in Bytes (power of 2),,19,,,25573487.0,ns,22594364
Size in Bytes (power of 2),,19,,,25707027.0,ns,23463378
Size in Bytes (power of 2),,19,,,26183207.0,ns,24332392
Size in Bytes (power of 2),,19,,,27630921.0,ns,25201406
Size in Bytes (power of 2),,19,,,30947785.0,ns,26070420
Size in Bytes (power of 2),,19,,,29407287.0,ns,26939434
Size in Bytes (power of 2),,19,,,30474237.0,ns,27808448
Size in Bytes (power of 2),,19,,,33176800.0,ns,28677462
Size in Bytes (power of 2),,19,,,34132972.0,ns,29546476
Size in Bytes (power of 2),,19,,,33802373.0,ns,30415490
Size in Bytes (power of 2),,19,,,34939235.0,ns,31284504
Size in Bytes (power of 2),,19,,,36168273.0,ns,32153518
Size in Bytes (power of 2),,19,,,36644819.0,ns,33022532
Size in Bytes (power of 2),,19,,,37343904.0,ns,33891546
Size in Bytes (power of 2),,19,,,37908710.0,ns,34760560
Size in Bytes (power of 2),,19,,,38616551.0,ns,35629574
Size in Bytes (power of 2),,19,,,40064792.0,ns,36498588
Size in Bytes (power of 2),,19,,,40659167.0,ns,37367602
Size in Bytes (power of 2),,19,,,42525855.0,ns,38236616
Size in Bytes (power of 2),,19,,,42894356.0,ns,39105630
Size in Bytes (power of 2),,19,,,45105189.0,ns,39974644
Size in Bytes (power of 2),,19,,,45597019.0,ns,40843658
Size in Bytes (power of 2),,19,,,46330912.0,ns,41712672
Size in Bytes (power of 2),,19,,,46642019.0,ns,42581686
Size in Bytes (power of 2),,19,,,51208655.0,ns,43450700
Size in Bytes (power of 2),,19,,,48872341.0,ns,44319714
Size in Bytes (power of 2),,19,,,50375929.0,ns,45188728
Size in Bytes (power of 2),,19,,,49960832.0,ns,46057742
Size in Bytes (power of 2),,19,,,50101393.0,ns,46926756
Size in Bytes (power of 2),,19,,,52332241.0,ns,47795770
Size in Bytes (power of 2),,19,,,52881277.0,ns,48664784
Size in Bytes (power of 2),,19,,,55959759.0,ns,49533798
Size in Bytes (power of 2),,19,,,58972026.0,ns,50402812
Size in Bytes (power of 2),,19,,,58883815.0,ns,51271826
Size in Bytes (power of 2),,19,,,60650928.0,ns,52140840
Size in Bytes (power of 2),,19,,,60007950.0,ns,53009854
Size in Bytes (power of 2),,19,,,61865914.0,ns,53878868
Size in Bytes (power of 2),,19,,,61664653.0,ns,54747882
Size in Bytes (power of 2),,19,,,63153927.0,ns,55616896
Size in Bytes (power of 2),,19,,,63670676.0,ns,56485910
Size in Bytes (power of 2),,19,,,64303912.0,ns,57354924
Size in Bytes (power of 2),,19,,,67456763.0,ns,58223938
Size in Bytes (power of 2),,19,,,67186511.0,ns,59092952
Size in Bytes (power of 2),,19,,,74327255.0,ns,59961966
Size in Bytes (power of 2),,19,,,69589430.0,ns,60830980
Size in Bytes (power of 2),,19,,,71649504.0,ns,61699994
Size in Bytes (power of 2),,19,,,72312960.0,ns,62569008
Size in Bytes (power of 2),,19,,,71688372.0,ns,63438022
Size in Bytes (power of 2),,19,,,77667694.0,ns,64307036
Size in Bytes (power of 2),,19,,,73753801.0,ns,65176050
Size in Bytes (power of 2),,19,,,75556259.0,ns,66045064
Size in Bytes (power of 2),,19,,,76536549.0,ns,66914078
Size in Bytes (power of 2),,19,,,77192713.0,ns,67783092
Size in Bytes (power of 2),,19,,,79495311.0,ns,68652106
Size in Bytes (power of 2),,19,,,77329523.0,ns,69521120
Size in Bytes (power of 2),,19,,,80558656.0,ns,70390134
Size in Bytes (power of 2),,19,,,79256076.0,ns,71259148
Size in Bytes (power of 2),,19,,,80354750.0,ns,72128162
Size in Bytes (power of 2),,19,,,80517208.0,ns,72997176
Size in Bytes (power of 2),,19,,,83515524.0,ns,73866190
Size in Bytes (power of 2),,19,,,82262877.0,ns,74735204
Size in Bytes (power of 2),,19,,,84060940.0,ns,75604218
Size in Bytes (power of 2),,19,,,83883231.0,ns,76473232
Size in Bytes (power of 2),,19,,,85080063.0,ns,77342246
Size in Bytes (power of 2),,19,,,86295660.0,ns,78211260
Size in Bytes (power of 2),,19,,,87964453.0,ns,79080274
Size in Bytes (power of 2),,19,,,89647517.0,ns,79949288
Size in Bytes (power of 2),,19,,,91495067.0,ns,80818302
Size in Bytes (power of 2),,19,,,91708195.0,ns,81687316
Size in Bytes (power of 2),,19,,,90872438.0,ns,82556330
Size in Bytes (power of 2),,19,,,91385744.0,ns,83425344
Size in Bytes (power of 2),,19,,,93816973.0,ns,84294358
Size in Bytes (power of 2),,19,,,94596229.0,ns,85163372
Size in Bytes (power of 2),,19,,,94264323.0,ns,86032386
Size in Bytes (power of 2),,19,,,96043980.0,ns,86901400
